date,store_id,product_id,category,opening_inventory,units_sold,units_ordered,closing_inventory,is_observed,data_version
2022-01-01,S001,P0001,Electronics,195,102,252,93,True,v1
2022-01-02,S001,P0001,Electronics,93,71,0,22,True,v1
2022-01-03,S001,P0001,Electronics,274,142,229,132,True,v1
2022-01-04,S001,P0001,Electronics,132,42,0,90,True,v1
2022-01-05,S001,P0001,Electronics,319,129,0,190,True,v1
2022-01-06,S001,P0001,Electronics,190,98,308,92,True,v1
2022-01-07,S001,P0001,Electronics,92,92,0,0,True,v1
2022-01-08,S001,P0001,Electronics,308,96,248,212,True,v1
2022-01-09,S001,P0001,Electronics,212,57,0,155,True,v1
2022-01-10,S001,P0001,Electronics,403,88,0,315,True,v1
2022-01-11,S001,P0001,Electronics,315,112,0,203,True,v1
2022-01-12,S001,P0001,Electronics,203,70,179,133,True,v1
2022-01-13,S001,P0001,Electronics,133,80,0,53,True,v1
2022-01-14,S001,P0001,Electronics,232,52,0,180,True,v1
2022-01-15,S001,P0001,Electronics,180,126,287,54,True,v1
2022-01-16,S001,P0001,Electronics,54,54,298,0,True,v1
2022-01-17,S001,P0001,Electronics,287,73,0,214,True,v1
2022-01-18,S001,P0001,Electronics,512,101,0,411,True,v1
2022-01-19,S001,P0001,Electronics,411,103,0,308,True,v1
2022-01-20,S001,P0001,Electronics,308,20,0,288,True,v1
2022-01-21,S001,P0001,Electronics,288,92,0,196,True,v1
2022-01-22,S001,P0001,Electronics,196,87,181,109,True,v1
2022-01-23,S001,P0001,Electronics,109,109,276,0,True,v1
2022-01-24,S001,P0001,Electronics,181,29,0,152,True,v1
2022-01-25,S001,P0001,Electronics,428,55,0,373,True,v1
2022-01-26,S001,P0001,Electronics,373,147,331,226,True,v1
2022-01-27,S001,P0001,Electronics,226,93,0,133,True,v1
2022-01-28,S001,P0001,Electronics,464,201,343,263,True,v1
2022-01-29,S001,P0001,Electronics,263,69,0,194,True,v1
2022-01-30,S001,P0001,Electronics,537,73,0,464,True,v1
2022-01-31,S001,P0001,Electronics,464,103,0,361,True,v1
2022-02-01,S001,P0001,Electronics,361,102,0,259,True,v1
2022-02-02,S001,P0001,Electronics,259,94,215,165,True,v1
2022-02-03,S001,P0001,Electronics,165,41,0,124,True,v1
2022-02-04,S001,P0001,Electronics,339,76,0,263,True,v1
2022-02-05,S001,P0001,Electronics,263,81,0,182,True,v1
2022-02-06,S001,P0001,Electronics,182,65,124,117,True,v1
2022-02-07,S001,P0001,Electronics,117,74,0,43,True,v1
2022-02-08,S001,P0001,Electronics,167,84,298,83,True,v1
2022-02-09,S001,P0001,Electronics,83,83,0,0,True,v1
2022-02-10,S001,P0001,Electronics,298,59,0,239,True,v1
2022-02-11,S001,P0001,Electronics,239,108,247,131,True,v1
2022-02-12,S001,P0001,Electronics,131,111,288,20,True,v1
2022-02-13,S001,P0001,Electronics,267,65,0,202,True,v1
2022-02-14,S001,P0001,Electronics,490,54,0,436,True,v1
2022-02-15,S001,P0001,Electronics,436,109,0,327,True,v1
2022-02-16,S001,P0001,Electronics,327,114,0,213,True,v1
2022-02-17,S001,P0001,Electronics,213,66,142,147,True,v1
2022-02-18,S001,P0001,Electronics,147,142,218,5,True,v1
2022-02-19,S001,P0001,Electronics,147,41,0,106,True,v1
2022-02-20,S001,P0001,Electronics,324,161,267,163,True,v1
2022-02-21,S001,P0001,Electronics,163,135,0,28,True,v1
2022-02-22,S001,P0001,Electronics,295,81,294,214,True,v1
2022-02-23,S001,P0001,Electronics,214,167,0,47,True,v1
2022-02-24,S001,P0001,Electronics,341,104,0,237,True,v1
2022-02-25,S001,P0001,Electronics,237,111,243,126,True,v1
2022-02-26,S001,P0001,Electronics,126,73,0,53,True,v1
2022-02-27,S001,P0001,Electronics,296,141,305,155,True,v1
2022-02-28,S001,P0001,Electronics,155,112,0,43,True,v1
2022-03-01,S001,P0001,Electronics,348,89,283,259,True,v1
2022-03-02,S001,P0001,Electronics,259,101,0,158,True,v1
2022-03-03,S001,P0001,Electronics,441,111,0,330,True,v1
2022-03-04,S001,P0001,Electronics,330,95,0,235,True,v1
2022-03-05,S001,P0001,Electronics,235,87,171,148,True,v1
2022-03-06,S001,P0001,Electronics,148,115,301,33,True,v1
2022-03-07,S001,P0001,Electronics,204,94,0,110,True,v1
2022-03-08,S001,P0001,Electronics,411,45,0,366,True,v1
2022-03-09,S001,P0001,Electronics,366,195,383,171,True,v1
2022-03-10,S001,P0001,Electronics,171,65,0,106,True,v1
2022-03-11,S001,P0001,Electronics,489,32,0,457,True,v1
2022-03-12,S001,P0001,Electronics,457,77,0,380,True,v1
2022-03-13,S001,P0001,Electronics,380,75,0,305,True,v1
2022-03-14,S001,P0001,Electronics,305,118,192,187,True,v1
2022-03-15,S001,P0001,Electronics,187,129,0,58,True,v1
2022-03-16,S001,P0001,Electronics,250,103,203,147,True,v1
2022-03-17,S001,P0001,Electronics,147,92,0,55,True,v1
2022-03-18,S001,P0001,Electronics,258,103,172,155,True,v1
2022-03-19,S001,P0001,Electronics,155,75,270,80,True,v1
2022-03-20,S001,P0001,Electronics,252,147,0,105,True,v1
2022-03-21,S001,P0001,Electronics,375,74,0,301,True,v1
2022-03-22,S001,P0001,Electronics,301,80,0,221,True,v1
2022-03-23,S001,P0001,Electronics,221,90,147,131,True,v1
2022-03-24,S001,P0001,Electronics,131,41,0,90,True,v1
2022-03-25,S001,P0001,Electronics,237,107,275,130,True,v1
2022-03-26,S001,P0001,Electronics,130,99,0,31,True,v1
