as_of_date,store_id,product_id,category,inventory_date,current_inventory,in_transit_inventory,lead_time_days,effective_lead_time_days,forecast_during_lead_time,forecast_7d_total,safety_stock,error_std,avg_daily_units_sold,coverage_days,inventory_status,suggested_replenishment,forecast_status,recommendation_status,message,data_version,model_version,calculated_at
2023-12-28,S001,P0001,Electronics,2023-12-28,183,0,1,1,63.4,441.4,2.3,1.0,83.79,2.2,low,0,ready,ready,,v1,ensemble_v2,2026-07-13T07:06:13.058276
2023-12-29,S001,P0001,Electronics,2023-12-29,104,0,1,1,66.4,447.5,14.2,6.080305763431058,83.44,1.2,critical,0,ready,ready,,v1,ensemble_v2,2026-07-13T07:06:13.058276
2023-12-30,S001,P0001,Electronics,2023-12-30,51,0,1,1,64.0,442.2,27.5,11.8102788405929,82.78,0.6,critical,41,ready,ready,,v1,ensemble_v2,2026-07-13T07:06:13.058276
2023-12-31,S001,P0001,Electronics,2023-12-31,216,0,1,1,59.1,417.4,36.4,15.622998795279159,81.51,2.6,low,0,ready,ready,,v1,ensemble_v2,2026-07-13T07:06:13.058276
2024-01-01,S001,P0001,Electronics,2024-01-01,150,0,1,1,53.7,380.1,33.7,14.477984030714467,81.53,1.8,critical,0,ready,ready,,v1,ensemble_v2,2026-07-13T07:06:13.058276
2024-01-02,S001,P0001,Electronics,2024-01-02,125,0,1,1,43.7,312.8,33.2,14.266222700545931,80.71,1.5,critical,0,ready,ready,,v1,ensemble_v2,2026-07-13T07:06:13.058276
2024-01-03,S001,P0001,Electronics,2024-01-03,173,0,1,1,49.3,307.2,31.8,13.646498418329333,80.79,2.1,low,0,ready,ready,,v1,ensemble_v2,2026-07-13T07:06:13.058276
2024-01-04,S001,P0001,Electronics,2024-01-04,127,0,1,1,40.7,287.9,29.6,12.683160099382208,80.71,1.6,critical,0,ready,ready,,v1,ensemble_v2,2026-07-13T07:06:13.058276
2024-01-05,S001,P0001,Electronics,2024-01-05,82,0,1,1,41.3,284.2,42.2,18.114685188405055,80.66,1.0,critical,2,ready,ready,,v1,ensemble_v2,2026-07-13T07:06:13.058276
2024-01-06,S001,P0001,Electronics,2024-01-06,151,0,1,1,38.8,275.7,39.9,17.106360956294328,80.83,1.9,critical,0,ready,ready,,v1,ensemble_v2,2026-07-13T07:06:13.058276
2024-01-07,S001,P0001,Electronics,2024-01-07,224,0,1,1,39.8,281.1,47.2,20.2562075161764,81.18,2.8,low,0,ready,ready,,v1,ensemble_v2,2026-07-13T07:06:13.058276
2024-01-08,S001,P0001,Electronics,2024-01-08,192,0,1,1,38.3,273.6,49.6,21.284463472690792,80.96,2.4,low,0,ready,ready,,v1,ensemble_v2,2026-07-13T07:06:13.058276
2024-01-09,S001,P0001,Electronics,2024-01-09,117,0,1,1,39.4,286.1,75.7,32.47211576041231,80.79,1.4,critical,0,ready,ready,,v1,ensemble_v2,2026-07-13T07:06:13.058276
2024-01-10,S001,P0001,Electronics,2024-01-10,43,0,1,1,47.7,302.0,72.9,31.287935583939962,81.11,0.5,critical,78,ready,ready,,v1,ensemble_v2,2026-07-13T07:06:13.058276
2024-01-11,S001,P0001,Electronics,2024-01-11,64,0,1,1,52.0,366.7,81.1,34.79944527537145,82.22,0.8,critical,70,ready,ready,,v1,ensemble_v2,2026-07-13T07:06:13.058276
2024-01-12,S001,P0001,Electronics,2024-01-12,166,0,1,1,52.8,370.5,78.9,33.844712008896344,82.62,2.0,low,0,ready,ready,,v1,ensemble_v2,2026-07-13T07:06:13.058276
2024-01-13,S001,P0001,Electronics,2024-01-13,337,0,1,1,61.0,434.1,76.8,32.956904704002326,83.79,4.0,normal,0,ready,ready,,v1,ensemble_v2,2026-07-13T07:06:13.058276
2024-01-14,S001,P0001,Electronics,2024-01-14,254,0,1,1,62.9,441.1,78.1,33.537966030828265,84.4,3.0,low,0,ready,ready,,v1,ensemble_v2,2026-07-13T07:06:13.058276
2024-01-15,S001,P0001,Electronics,2024-01-15,164,0,1,1,65.4,469.4,76.7,32.90484915583769,84.93,1.9,critical,0,ready,ready,,v1,ensemble_v2,2026-07-13T07:06:13.058276
2024-01-16,S001,P0001,Electronics,2024-01-16,129,0,1,1,62.3,443.6,75.4,32.373642841791856,85.13,1.5,critical,9,ready,ready,,v1,ensemble_v2,2026-07-13T07:06:13.058276
2024-01-17,S001,P0001,Electronics,2024-01-17,327,0,1,1,69.8,448.0,73.5,31.55602881876725,85.19,3.8,low,0,ready,ready,,v1,ensemble_v2,2026-07-13T07:06:13.058276
2024-01-18,S001,P0001,Electronics,2024-01-18,273,0,1,1,57.4,406.8,83.7,35.91515227329244,84.8,3.2,low,0,ready,ready,,v1,ensemble_v2,2026-07-13T07:06:13.058276
2024-01-19,S001,P0001,Electronics,2024-01-19,196,0,1,1,62.9,423.4,84.0,36.0507604937505,85.23,2.3,low,0,ready,ready,,v1,ensemble_v2,2026-07-13T07:06:13.058276
2024-01-20,S001,P0001,Electronics,2024-01-20,41,0,1,1,63.9,462.5,110.7,47.51894831878745,86.48,0.5,critical,134,ready,ready,,v1,ensemble_v2,2026-07-13T07:06:13.058276
2024-01-21,S001,P0001,Electronics,2024-01-21,103,0,1,1,67.9,484.2,109.2,46.86084154490454,86.54,1.2,critical,75,ready,ready,,v1,ensemble_v2,2026-07-13T07:06:13.058276
2024-01-22,S001,P0001,Electronics,2024-01-22,135,0,1,1,78.1,575.0,107.0,45.936008576628275,88.66,1.5,critical,51,ready,ready,,v1,ensemble_v2,2026-07-13T07:06:13.058276
2024-01-23,S001,P0001,Electronics,2024-01-23,73,0,1,1,77.5,569.5,105.2,45.152059184635846,88.08,0.8,critical,110,ready,ready,,v1,ensemble_v2,2026-07-13T07:06:13.058276
2024-01-24,S001,P0001,Electronics,2024-01-24,325,0,1,1,86.7,579.6,105.1,45.11173014836822,88.61,3.7,low,0,ready,ready,,v1,ensemble_v2,2026-07-13T07:06:13.058276
2024-01-25,S001,P0001,Electronics,2024-01-25,237,0,1,1,81.6,577.6,103.2,44.29888645210949,87.98,2.7,low,0,ready,ready,,v1,ensemble_v2,2026-07-13T07:06:13.058276
2024-01-26,S001,P0001,Electronics,2024-01-26,173,0,1,1,85.4,579.3,101.4,43.53790874032152,87.39,2.0,critical,14,ready,ready,,v1,ensemble_v2,2026-07-13T07:06:13.058276
2024-01-27,S001,P0001,Electronics,2024-01-27,371,0,1,1,79.0,577.0,99.8,42.83300413449043,87.34,4.2,normal,0,ready,ready,,v1,ensemble_v2,2026-07-13T07:06:13.058276
2024-01-28,S001,P0001,Electronics,2024-01-28,259,0,1,1,86.7,592.0,99.8,42.83300413449043,87.59,3.0,low,0,ready,ready,,v1,ensemble_v2,2026-07-13T07:06:13.058276
2024-01-29,S001,P0001,Electronics,2024-01-29,154,0,1,1,70.1,548.8,99.8,42.83300413449043,88.23,1.7,critical,16,ready,ready,,v1,ensemble_v2,2026-07-13T07:06:13.058276
2024-01-30,S001,P0001,Electronics,2024-01-30,315,0,1,1,73.1,563.0,99.8,42.83300413449043,87.87,3.6,low,0,ready,ready,,v1,ensemble_v2,2026-07-13T07:06:13.058276
2023-12-28,S001,P0002,Clothing,2023-12-28,0,0,0,1,84.6,566.0,2.3,1.0,93.99,0.0,critical,87,ready,ready,,v1,ensemble_v2,2026-07-13T07:06:13.058276
2023-12-29,S001,P0002,Clothing,2023-12-29,0,0,0,1,78.1,574.8,57.1,24.489931507414443,95.5,0.0,critical,136,ready,ready,,v1,ensemble_v2,2026-07-13T07:06:13.058276
2023-12-30,S001,P0002,Clothing,2023-12-30,121,0,0,1,81.7,584.5,41.0,17.592271541440148,95.66,1.3,critical,2,ready,ready,,v1,ensemble_v2,2026-07-13T07:06:13.058276
2023-12-31,S001,P0002,Clothing,2023-12-31,0,0,0,1,78.7,586.8,33.7,14.46018725245649,95.66,0.0,critical,113,ready,ready,,v1,ensemble_v2,2026-07-13T07:06:13.058276
2024-01-01,S001,P0002,Clothing,2024-01-01,41,0,0,1,87.0,587.6,66.8,28.68280102709034,96.08,0.4,critical,113,ready,ready,,v1,ensemble_v2,2026-07-13T07:06:13.058276
2024-01-02,S001,P0002,Clothing,2024-01-02,41,0,0,1,80.8,574.3,59.9,25.694538786934576,96.21,0.4,critical,100,ready,ready,,v1,ensemble_v2,2026-07-13T07:06:13.058276
2024-01-03,S001,P0002,Clothing,2024-01-03,38,0,0,1,93.5,662.7,88.8,38.09291683085055,96.11,0.4,critical,145,ready,ready,,v1,ensemble_v2,2026-07-13T07:06:13.058276
2024-01-04,S001,P0002,Clothing,2024-01-04,45,0,0,1,102.2,672.4,82.4,35.37591252601988,96.53,0.5,critical,140,ready,ready,,v1,ensemble_v2,2026-07-13T07:06:13.058276
2024-01-05,S001,P0002,Clothing,2024-01-05,110,0,0,1,78.9,576.1,83.6,35.88817058639478,96.43,1.1,critical,53,ready,ready,,v1,ensemble_v2,2026-07-13T07:06:13.058276
2024-01-06,S001,P0002,Clothing,2024-01-06,0,0,0,1,83.6,593.1,79.8,34.26078660546055,96.56,0.0,critical,164,ready,ready,,v1,ensemble_v2,2026-07-13T07:06:13.058276
2024-01-07,S001,P0002,Clothing,2024-01-07,15,0,0,1,82.8,613.2,82.8,35.51944025656158,96.58,0.2,critical,151,ready,ready,,v1,ensemble_v2,2026-07-13T07:06:13.058276
2024-01-08,S001,P0002,Clothing,2024-01-08,0,0,0,1,92.5,633.8,81.2,34.83642500822184,96.81,0.0,critical,174,ready,ready,,v1,ensemble_v2,2026-07-13T07:06:13.058276
2024-01-09,S001,P0002,Clothing,2024-01-09,86,0,0,1,89.5,604.3,82.3,35.321813445470625,96.67,0.9,critical,86,ready,ready,,v1,ensemble_v2,2026-07-13T07:06:13.058276
2024-01-10,S001,P0002,Clothing,2024-01-10,0,0,0,1,79.1,555.7,79.1,33.940326545255694,96.02,0.0,critical,159,ready,ready,,v1,ensemble_v2,2026-07-13T07:06:13.058276
2024-01-11,S001,P0002,Clothing,2024-01-11,77,0,0,1,78.4,527.8,76.3,32.732451195164295,96.1,0.8,critical,78,ready,ready,,v1,ensemble_v2,2026-07-13T07:06:13.058276
2024-01-12,S001,P0002,Clothing,2024-01-12,76,0,0,1,74.5,544.9,73.9,31.699059940406393,95.6,0.8,critical,73,ready,ready,,v1,ensemble_v2,2026-07-13T07:06:13.058276
2024-01-13,S001,P0002,Clothing,2024-01-13,102,0,0,1,76.0,531.5,72.0,30.9222832453441,95.22,1.1,critical,47,ready,ready,,v1,ensemble_v2,2026-07-13T07:06:13.058276
2024-01-14,S001,P0002,Clothing,2024-01-14,0,0,0,1,71.3,519.0,70.1,30.06527962016303,95.71,0.0,critical,142,ready,ready,,v1,ensemble_v2,2026-07-13T07:06:13.058276
2024-01-15,S001,P0002,Clothing,2024-01-15,0,0,0,1,72.9,509.4,68.8,29.53919988926017,96.37,0.0,critical,142,ready,ready,,v1,ensemble_v2,2026-07-13T07:06:13.058276
2024-01-16,S001,P0002,Clothing,2024-01-16,0,0,0,1,75.9,522.2,72.4,31.054675172724696,96.22,0.0,critical,149,ready,ready,,v1,ensemble_v2,2026-07-13T07:06:13.058276
