store_id,date,category,total_units_sold,active_product_count,data_version
S001,2022-01-01,Clothing,319,3,v1
S001,2022-01-01,Electronics,189,3,v1
S001,2022-01-01,Furniture,218,4,v1
S001,2022-01-01,Groceries,544,6,v1
S001,2022-01-01,Toys,287,4,v1
S001,2022-01-01,all,1557,20,v1
S001,2022-01-02,Clothing,379,3,v1
S001,2022-01-02,Electronics,190,3,v1
S001,2022-01-02,Furniture,385,4,v1
S001,2022-01-02,Groceries,570,6,v1
S001,2022-01-02,Toys,300,4,v1
S001,2022-01-02,all,1824,20,v1
S001,2022-01-03,Clothing,183,3,v1
S001,2022-01-03,Electronics,253,3,v1
S001,2022-01-03,Furniture,212,4,v1
S001,2022-01-03,Groceries,349,3,v1
S001,2022-01-03,Toys,270,4,v1
S001,2022-01-03,all,1267,17,v1
S001,2022-01-04,Clothing,201,2,v1
S001,2022-01-04,Electronics,209,3,v1
S001,2022-01-04,Furniture,155,3,v1
S001,2022-01-04,Groceries,375,4,v1
S001,2022-01-04,Toys,219,3,v1
S001,2022-01-04,all,1159,15,v1
S001,2022-01-05,Clothing,363,3,v1
S001,2022-01-05,Electronics,224,3,v1
S001,2022-01-05,Furniture,214,3,v1
S001,2022-01-05,Groceries,634,6,v1
S001,2022-01-05,Toys,263,4,v1
S001,2022-01-05,all,1698,19,v1
S001,2022-01-06,Clothing,335,3,v1
S001,2022-01-06,Electronics,223,3,v1
S001,2022-01-06,Furniture,362,4,v1
S001,2022-01-06,Groceries,613,6,v1
S001,2022-01-06,Toys,421,4,v1
S001,2022-01-06,all,1954,20,v1
S001,2022-01-07,Clothing,241,3,v1
S001,2022-01-07,Electronics,265,3,v1
S001,2022-01-07,Furniture,261,4,v1
S001,2022-01-07,Groceries,572,6,v1
S001,2022-01-07,Toys,299,4,v1
S001,2022-01-07,all,1638,20,v1
S001,2022-01-08,Clothing,269,3,v1
S001,2022-01-08,Electronics,197,3,v1
S001,2022-01-08,Furniture,277,4,v1
S001,2022-01-08,Groceries,744,6,v1
S001,2022-01-08,Toys,319,4,v1
S001,2022-01-08,all,1806,20,v1
S001,2022-01-09,Clothing,416,3,v1
S001,2022-01-09,Electronics,226,3,v1
S001,2022-01-09,Furniture,492,4,v1
S001,2022-01-09,Groceries,627,6,v1
S001,2022-01-09,Toys,348,4,v1
S001,2022-01-09,all,2109,20,v1
S001,2022-01-10,Clothing,481,3,v1
S001,2022-01-10,Electronics,171,3,v1
S001,2022-01-10,Furniture,224,4,v1
S001,2022-01-10,Groceries,746,6,v1
S001,2022-01-10,Toys,308,4,v1
S001,2022-01-10,all,1930,20,v1
S001,2022-01-11,Clothing,314,3,v1
S001,2022-01-11,Electronics,247,3,v1
S001,2022-01-11,Furniture,270,4,v1
S001,2022-01-11,Groceries,582,6,v1
S001,2022-01-11,Toys,357,4,v1
S001,2022-01-11,all,1770,20,v1
S001,2022-01-12,Clothing,430,3,v1
S001,2022-01-12,Electronics,294,3,v1
S001,2022-01-12,Furniture,280,4,v1
S001,2022-01-12,Groceries,488,6,v1
S001,2022-01-12,Toys,401,4,v1
S001,2022-01-12,all,1893,20,v1
S001,2022-01-13,Clothing,480,3,v1
S001,2022-01-13,Electronics,279,3,v1
S001,2022-01-13,Furniture,309,4,v1
S001,2022-01-13,Groceries,645,6,v1
S001,2022-01-13,Toys,374,4,v1
S001,2022-01-13,all,2087,20,v1
S001,2022-01-14,Clothing,332,3,v1
S001,2022-01-14,Electronics,219,3,v1
S001,2022-01-14,Furniture,257,4,v1
S001,2022-01-14,Groceries,858,6,v1
S001,2022-01-14,Toys,228,4,v1
S001,2022-01-14,all,1894,20,v1
S001,2022-01-15,Clothing,515,3,v1
S001,2022-01-15,Electronics,265,3,v1
S001,2022-01-15,Furniture,357,4,v1
S001,2022-01-15,Groceries,533,6,v1
S001,2022-01-15,Toys,359,4,v1
S001,2022-01-15,all,2029,20,v1
S001,2022-01-16,Clothing,336,3,v1
S001,2022-01-16,Electronics,235,3,v1
S001,2022-01-16,Furniture,251,4,v1
S001,2022-01-16,Groceries,611,6,v1
S001,2022-01-16,Toys,405,4,v1
S001,2022-01-16,all,1838,20,v1
S001,2022-01-17,Clothing,462,3,v1
S001,2022-01-17,Electronics,192,3,v1
S001,2022-01-17,Furniture,336,4,v1
S001,2022-01-17,Groceries,616,6,v1
S001,2022-01-17,Toys,425,4,v1
S001,2022-01-17,all,2031,20,v1
S001,2022-01-18,Clothing,579,3,v1
S001,2022-01-18,Electronics,331,3,v1
S001,2022-01-18,Furniture,332,4,v1
S001,2022-01-18,Groceries,607,6,v1
S001,2022-01-18,Toys,368,4,v1
S001,2022-01-18,all,2217,20,v1
S001,2022-01-19,Clothing,329,3,v1
S001,2022-01-19,Electronics,277,3,v1
S001,2022-01-19,Furniture,270,4,v1
S001,2022-01-19,Groceries,562,6,v1
S001,2022-01-19,Toys,396,4,v1
S001,2022-01-19,all,1834,20,v1
S001,2022-01-20,Clothing,224,3,v1
S001,2022-01-20,Electronics,172,3,v1
S001,2022-01-20,Furniture,312,4,v1
S001,2022-01-20,Groceries,512,6,v1
S001,2022-01-20,Toys,353,4,v1
S001,2022-01-20,all,1573,20,v1
S001,2022-01-21,Clothing,393,3,v1
S001,2022-01-21,Electronics,297,3,v1
S001,2022-01-21,Furniture,259,4,v1
S001,2022-01-21,Groceries,840,6,v1
S001,2022-01-21,Toys,399,4,v1
S001,2022-01-21,all,2188,20,v1
S001,2022-01-22,Clothing,372,3,v1
S001,2022-01-22,Electronics,219,3,v1
S001,2022-01-22,Furniture,324,4,v1
S001,2022-01-22,Groceries,695,6,v1
S001,2022-01-22,Toys,343,4,v1
S001,2022-01-22,all,1953,20,v1
