as_of_date,store_id,product_id,horizon,window_days,error_std,valid_error_count,std_source,model_version,calculated_at
2023-12-28,S001,P0001,3,90,1.0,1,fallback_1,ensemble_v2,2026-07-13T07:06:13.058276
2023-12-29,S001,P0001,3,90,6.080305763431058,2,calculated,ensemble_v2,2026-07-13T07:06:13.058276
2023-12-30,S001,P0001,3,90,11.8102788405929,3,calculated,ensemble_v2,2026-07-13T07:06:13.058276
2023-12-31,S001,P0001,3,90,15.622998795279159,4,calculated,ensemble_v2,2026-07-13T07:06:13.058276
2024-01-01,S001,P0001,3,90,14.477984030714467,5,calculated,ensemble_v2,2026-07-13T07:06:13.058276
2024-01-02,S001,P0001,3,90,14.266222700545931,6,calculated,ensemble_v2,2026-07-13T07:06:13.058276
2024-01-03,S001,P0001,3,90,13.646498418329333,7,calculated,ensemble_v2,2026-07-13T07:06:13.058276
2024-01-04,S001,P0001,3,90,12.683160099382208,8,calculated,ensemble_v2,2026-07-13T07:06:13.058276
2024-01-05,S001,P0001,3,90,18.114685188405055,9,calculated,ensemble_v2,2026-07-13T07:06:13.058276
2024-01-06,S001,P0001,3,90,17.106360956294328,10,calculated,ensemble_v2,2026-07-13T07:06:13.058276
2024-01-07,S001,P0001,3,90,20.2562075161764,11,calculated,ensemble_v2,2026-07-13T07:06:13.058276
2024-01-08,S001,P0001,3,90,21.284463472690792,12,calculated,ensemble_v2,2026-07-13T07:06:13.058276
2024-01-09,S001,P0001,3,90,32.47211576041231,13,calculated,ensemble_v2,2026-07-13T07:06:13.058276
2024-01-10,S001,P0001,3,90,31.287935583939962,14,calculated,ensemble_v2,2026-07-13T07:06:13.058276
2024-01-11,S001,P0001,3,90,34.79944527537145,15,calculated,ensemble_v2,2026-07-13T07:06:13.058276
2024-01-12,S001,P0001,3,90,33.844712008896344,16,calculated,ensemble_v2,2026-07-13T07:06:13.058276
2024-01-13,S001,P0001,3,90,32.956904704002326,17,calculated,ensemble_v2,2026-07-13T07:06:13.058276
2024-01-14,S001,P0001,3,90,33.537966030828265,18,calculated,ensemble_v2,2026-07-13T07:06:13.058276
2024-01-15,S001,P0001,3,90,32.90484915583769,19,calculated,ensemble_v2,2026-07-13T07:06:13.058276
2024-01-16,S001,P0001,3,90,32.373642841791856,20,calculated,ensemble_v2,2026-07-13T07:06:13.058276
2024-01-17,S001,P0001,3,90,31.55602881876725,21,calculated,ensemble_v2,2026-07-13T07:06:13.058276
2024-01-18,S001,P0001,3,90,35.91515227329244,22,calculated,ensemble_v2,2026-07-13T07:06:13.058276
2024-01-19,S001,P0001,3,90,36.0507604937505,23,calculated,ensemble_v2,2026-07-13T07:06:13.058276
2024-01-20,S001,P0001,3,90,47.51894831878745,24,calculated,ensemble_v2,2026-07-13T07:06:13.058276
2024-01-21,S001,P0001,3,90,46.86084154490454,25,calculated,ensemble_v2,2026-07-13T07:06:13.058276
2024-01-22,S001,P0001,3,90,45.936008576628275,26,calculated,ensemble_v2,2026-07-13T07:06:13.058276
2024-01-23,S001,P0001,3,90,45.152059184635846,27,calculated,ensemble_v2,2026-07-13T07:06:13.058276
2024-01-24,S001,P0001,3,90,45.11173014836822,28,calculated,ensemble_v2,2026-07-13T07:06:13.058276
2024-01-25,S001,P0001,3,90,44.29888645210949,29,calculated,ensemble_v2,2026-07-13T07:06:13.058276
2024-01-26,S001,P0001,3,90,43.53790874032152,30,calculated,ensemble_v2,2026-07-13T07:06:13.058276
2024-01-27,S001,P0001,3,90,42.83300413449043,31,calculated,ensemble_v2,2026-07-13T07:06:13.058276
2023-12-28,S001,P0002,3,90,1.0,1,fallback_1,ensemble_v2,2026-07-13T07:06:13.058276
2023-12-29,S001,P0002,3,90,24.489931507414443,2,calculated,ensemble_v2,2026-07-13T07:06:13.058276
2023-12-30,S001,P0002,3,90,17.592271541440148,3,calculated,ensemble_v2,2026-07-13T07:06:13.058276
